,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,ccg
25,5.1214,5.2173,5.2898,5.3696,5.4577,5.5524,5.6394,5.7263,5.8328,5.9433,6.0622,6.1889,6.3083,6.431,6.5449,6.65,6.7598,6.8523,6.948,7.0214,7.0835,7.1279,7.1589,7.1827,7.1977,7.212,07K
26,17.9725,18.3672,18.674,19.0008,19.3216,19.6841,20.0404,20.4024,20.7957,21.2374,21.6938,22.162,22.6439,23.1041,23.5523,23.9549,24.3469,24.6831,25.0348,25.351,25.5772,25.7473,25.8741,25.9648,26.0308,26.0984,18C
27,7.2608,7.3653,7.448,7.5544,7.6722,7.8017,7.9297,8.0706,8.2208,8.3954,8.5667,8.7211,8.8663,8.9868,9.111,9.213,9.3231,9.4187,9.5145,9.5811,9.6112,9.6165,9.6141,9.6154,9.6039,9.6085,99A
28,9.2949,9.4659,9.6043,9.7724,9.9479,10.1403,10.3152,10.5167,10.7136,10.9229,11.1222,11.3385,11.544,11.7362,11.9403,12.1295,12.3121,12.4973,12.6961,12.8717,13.0032,13.1075,13.1937,13.2587,13.3085,13.3614,36J
29,4.7287,4.8303,4.905,4.9913,5.0959,5.2003,5.3158,5.421,5.5399,5.6577,5.7822,5.9111,6.0466,6.1753,6.3021,6.4296,6.5447,6.6448,6.7628,6.8443,6.9087,6.943,6.9682,6.9746,6.9663,6.9675,02P
30,2.8402,2.8476,2.8554,2.8822,2.9029,2.9336,2.9701,3.0035,3.0412,3.0954,3.1484,3.2075,3.2612,3.3157,3.3662,3.4144,3.4628,3.4983,3.5381,3.569,3.5902,3.5986,3.5961,3.5936,3.5831,3.5761,00R
31,4.912,4.9731,5.0205,5.0625,5.1251,5.1884,5.2559,5.3264,5.4034,5.4922,5.5728,5.6662,5.7583,5.852,5.94,6.0195,6.1001,6.1734,6.2526,6.3114,6.3496,6.37,6.3834,6.3945,6.3911,6.3959,00T
32,7.6848,7.8034,7.9001,8.0044,8.132,8.2693,8.4021,8.5488,8.6914,8.8497,9.0128,9.1824,9.3432,9.5049,9.6645,9.8267,9.9843,10.1322,10.2879,10.416,10.4985,10.5543,10.5905,10.6218,10.6366,10.6633,X2C4Y
33,15.9633,16.273,16.5369,16.8242,17.1308,17.4657,17.7977,18.1451,18.5593,18.9892,19.4326,19.8753,20.3012,20.7085,21.0973,21.4754,21.8448,22.1527,22.4795,22.7709,22.9907,23.1466,23.2754,23.3481,23.3836,23.4276,27D
34,12.8421,13.0664,13.2482,13.4625,13.7053,13.9776,14.2479,14.507,14.7937,15.1284,15.4499,15.7374,16.0443,16.3373,16.5908,16.7988,16.9818,17.165,17.3426,17.4751,17.5419,17.5616,17.5534,17.5349,17.4735,17.4281,16C
35,5.881,5.9811,6.0707,6.1725,6.2828,6.4064,6.5223,6.6458,6.7739,6.9087,7.0532,7.2008,7.3346,7.4661,7.5866,7.7023,7.8092,7.9016,8.0097,8.0806,8.1431,8.1728,8.1974,8.2069,8.1978,8.1967,02X
36,2.1543,2.1715,2.198,2.2199,2.2454,2.2677,2.2965,2.3327,2.3711,2.4112,2.451,2.4878,2.5237,2.5597,2.598,2.6428,2.6834,2.7172,2.7486,2.7784,2.7954,2.8115,2.8192,2.8207,2.8202,2.8212,00Q
37,8.2484,8.3425,8.4233,8.5219,8.6353,8.7806,8.9136,9.0408,9.1753,9.3357,9.4953,9.632,9.7736,9.9012,10.0196,10.1154,10.2,10.2715,10.3685,10.4433,10.4664,10.4616,10.4547,10.4495,10.4204,10.3956,13T
38,10.4264,10.6357,10.8135,11.0135,11.2159,11.4334,11.6616,11.9002,12.1639,12.4292,12.7117,12.9997,13.2857,13.5315,13.787,14.0137,14.2252,14.4039,14.5971,14.7508,14.8582,14.9239,14.9592,14.9791,14.9707,14.961,42D
39,3.8997,3.9375,3.9581,3.9938,4.044,4.1008,4.1507,4.2155,4.2895,4.3731,4.4532,4.5297,4.5993,4.6626,4.728,4.7779,4.8235,4.8523,4.8927,4.9236,4.9451,4.9471,4.9396,4.9274,4.8993,4.8731,03F
40,3.5037,3.5413,3.5656,3.6109,3.6583,3.7036,3.7542,3.8131,3.8822,3.9678,4.0487,4.13,4.2116,4.2769,4.3497,4.4238,4.4845,4.5423,4.6014,4.6515,4.6838,4.7022,4.7047,4.71,4.7038,4.6938,01E
41,12.2414,12.3754,12.4423,12.5528,12.6949,12.8334,12.9837,13.1247,13.2957,13.4924,13.7019,13.9162,14.1365,14.3344,14.5297,14.7016,14.863,15.0106,15.1863,15.3061,15.3892,15.4243,15.4442,15.4666,15.4604,15.45,15F
42,5.0967,5.1314,5.1814,5.2417,5.3247,5.4036,5.4835,5.5691,5.6746,5.8016,5.9222,6.0551,6.1975,6.3218,6.4668,6.5829,6.7104,6.8122,6.9155,7.0059,7.0801,7.1347,7.1801,7.2217,7.261,7.3085,14L
43,6.5208,6.64,6.7394,6.8541,6.969,7.1055,7.2482,7.3879,7.544,7.7005,7.8601,8.0307,8.1917,8.3616,8.5289,8.6821,8.8267,8.9696,9.1147,9.2297,9.3148,9.3661,9.4117,9.4477,9.4482,9.4591,03R
44,3.2299,3.2868,3.3311,3.3822,3.4288,3.4916,3.5518,3.6137,3.6874,3.7654,3.8471,3.9221,3.9935,4.0639,4.1258,4.1822,4.2418,4.2849,4.3383,4.382,4.4043,4.4141,4.4177,4.4136,4.3981,4.3851,03H
45,4.1165,4.1998,4.2692,4.3442,4.4247,4.5234,4.6105,4.6978,4.7894,4.8914,5.0069,5.1187,5.2284,5.3216,5.4051,5.4802,5.5525,5.6203,5.6906,5.757,5.7956,5.8195,5.8382,5.8522,5.8536,5.8518,99C
46,3.642,3.6707,3.684,3.706,3.7608,3.8119,3.8697,3.9236,3.9855,4.0655,4.1369,4.2109,4.2901,4.3667,4.4366,4.5078,4.5789,4.6302,4.6902,4.7466,4.779,4.7998,4.8228,4.8482,4.8572,4.8791,01G
47,9.3631,9.4459,9.507,9.5751,9.6678,9.7807,9.8941,10.0248,10.169,10.334,10.4969,10.6519,10.8165,10.9921,11.1709,11.3496,11.5219,11.6799,11.8332,11.9538,12.026,12.0717,12.1061,12.1207,12.1327,12.1463,03N
48,3.1406,3.1945,3.2364,3.2873,3.3422,3.3986,3.4525,3.515,3.5874,3.6518,3.7209,3.7983,3.8668,3.9213,3.9762,4.0239,4.0745,4.1187,4.1602,4.1938,4.2173,4.2321,4.2352,4.2343,4.2279,4.2221,01V
49,2.5513,2.5939,2.6353,2.672,2.737,2.7977,2.8567,2.921,2.9931,3.0744,3.1453,3.2153,3.2838,3.3351,3.3855,3.425,3.4649,3.5024,3.5402,3.567,3.5703,3.572,3.5632,3.5513,3.529,3.5157,01J
50,5.8064,5.8689,5.9189,5.9779,6.0402,6.1103,6.1783,6.2612,6.3407,6.4392,6.5339,6.6257,6.74,6.8245,6.9132,6.9883,7.0685,7.1225,7.1967,7.2624,7.2913,7.3063,7.3216,7.3232,7.3306,7.3492,01W
51,4.6096,4.6693,4.7076,4.7632,4.8306,4.901,4.9788,5.0476,5.1492,5.2479,5.3444,5.4483,5.5523,5.6504,5.7429,5.8303,5.9073,5.9763,6.0484,6.1045,6.1334,6.1496,6.1569,6.1521,6.1445,6.143,01Y
52,5.1693,5.2464,5.3037,5.3779,5.4525,5.5447,5.6243,5.714,5.8072,5.8976,5.996,6.0934,6.1902,6.2816,6.3698,6.4615,6.5394,6.6173,6.6912,6.7512,6.7913,6.8041,6.7992,6.7938,6.7678,6.7495,03L
53,7.633,7.7379,7.8245,7.9136,8.0221,8.1363,8.2643,8.3967,8.5297,8.6948,8.8445,9.0119,9.1774,9.3221,9.4697,9.5917,9.719,9.8267,9.9366,10.0156,10.0539,10.0778,10.0791,10.075,10.047,10.0233,01K
54,3.8883,3.961,4.0245,4.0887,4.1562,4.2271,4.313,4.3878,4.4807,4.5825,4.6968,4.8064,4.9114,5.0132,5.1074,5.1874,5.2688,5.3466,5.4226,5.4887,5.5383,5.5657,5.588,5.6039,5.6071,5.6112,02E
55,6.9811,7.0851,7.1684,7.2467,7.3524,7.4725,7.5926,7.7226,7.8657,8.0156,8.1721,8.33,8.4827,8.605,8.7315,8.8471,8.9578,9.0561,9.1596,9.2378,9.2908,9.3001,9.3238,9.332,9.3169,9.3063,12F
56,6.1837,6.2762,6.3371,6.4017,6.4761,6.5775,6.6741,6.77,6.89,7.024,7.1497,7.3021,7.4447,7.5914,7.7308,7.8644,8.0048,8.1284,8.2636,8.3641,8.4251,8.4694,8.4916,8.4961,8.4876,8.4805,02H
57,7.3295,7.4693,7.5834,7.7027,7.8249,7.9658,8.1073,8.2593,8.4197,8.5927,8.7648,8.9524,9.1292,9.2843,9.4334,9.5733,9.7072,9.826,9.9479,10.0475,10.112,10.145,10.1742,10.1826,10.1806,10.1822,03Q
58,19.5508,19.7847,20.0065,20.2473,20.5092,20.81,21.1138,21.4452,21.8264,22.2263,22.6596,23.1074,23.5404,23.9603,24.3707,24.7398,25.0777,25.3879,25.7414,26.0579,26.3429,26.589,26.8376,27.0546,27.267,27.4938,92A
59,3.8504,3.8947,3.9264,3.9518,3.9869,4.0398,4.0891,4.1582,4.2262,4.3171,4.4182,4.5311,4.644,4.7574,4.861,4.9543,5.0469,5.1228,5.2053,5.2848,5.3538,5.4008,5.4336,5.4695,5.4963,5.5254,09D
60,10.1621,10.3273,10.4787,10.6255,10.7931,10.9654,11.1475,11.3359,11.536,11.7424,11.9583,12.1903,12.4158,12.6242,12.8346,13.0301,13.2055,13.373,13.5556,13.7092,13.8549,13.975,14.0826,14.1821,14.2866,14.3937,14Y
61,35.87,36.4598,36.9619,37.5045,38.1081,38.7524,39.4528,40.1495,40.9216,41.7773,42.6677,43.5943,44.5498,45.4708,46.3648,47.1677,47.9658,48.677,49.3968,50.0127,50.5412,50.9683,51.3534,51.6686,51.9853,52.3298,91Q
62,19.3061,19.622,19.879,20.1476,20.4703,20.8288,21.1887,21.5525,21.9626,22.4266,22.8939,23.386,23.8611,24.3209,24.7599,25.1569,25.5358,25.8882,26.2453,26.5497,26.7861,26.9808,27.1547,27.2807,27.3919,27.5033,11J
63,14.2361,14.4904,14.7004,14.9424,15.1887,15.4511,15.7401,16.0274,16.3359,16.6731,17.0487,17.4426,17.8309,18.2056,18.5794,18.9114,19.2274,19.506,19.8022,20.0597,20.2743,20.4449,20.5921,20.7123,20.812,20.9193,97R
64,11.777,11.9877,12.1874,12.3875,12.6035,12.8465,13.0781,13.3222,13.6017,13.8991,14.1952,14.4907,14.8134,15.0954,15.3767,15.6437,15.8958,16.1188,16.3677,16.5991,16.8139,16.9911,17.1615,17.3172,17.4566,17.6045,D4U1Y
65,13.4973,13.7862,14.0514,14.3202,14.5993,14.9121,15.2397,15.5827,15.9476,16.337,16.7281,17.1377,17.5353,17.9264,18.3146,18.6576,18.9915,19.279,19.5732,19.8407,20.0524,20.2159,20.3464,20.4408,20.5019,20.5846,11M
66,17.829,18.2058,18.5279,18.8568,19.2225,19.6107,20.0246,20.4537,20.9154,21.4079,21.915,22.4364,22.9428,23.4331,23.9229,24.3444,24.7572,25.1339,25.5187,25.884,26.193,26.4212,26.5989,26.7356,26.8326,26.9387,92G
67,34.0184,34.6493,35.198,35.7989,36.4505,37.1433,37.8637,38.5813,39.3656,40.1726,41.0492,41.9177,42.7941,43.5887,44.3376,45.0132,45.6525,46.2036,46.8097,47.3004,47.7299,48.044,48.3165,48.5044,48.6464,48.8016,D9Y0V
68,16.3647,16.5735,16.7249,16.8873,17.0666,17.284,17.4887,17.7073,17.9526,18.2383,18.5461,18.8642,19.1811,19.4933,19.7884,20.0158,20.2443,20.4456,20.6734,20.8442,20.9786,21.0763,21.1556,21.2213,21.2838,21.3498,15C
69,28.4179,28.9502,29.4107,29.9016,30.4695,31.0567,31.6786,32.3171,32.992,33.7206,34.4658,35.2664,36.0563,36.7948,37.518,38.1626,38.8114,39.3856,39.9579,40.437,40.8284,41.1221,41.3611,41.5378,41.6775,41.8256,15N
70,12.2393,12.4871,12.715,12.9538,13.2118,13.4803,13.7599,14.0639,14.3684,14.7011,15.0475,15.4027,15.7461,16.084,16.3934,16.6853,16.9561,17.2113,17.4699,17.7013,17.8966,18.0606,18.2007,18.309,18.4256,18.5394,10Q
71,3.0259,3.0547,3.0857,3.1195,3.1657,3.2209,3.2819,3.3473,3.4182,3.4892,3.569,3.6437,3.7208,3.7915,3.8581,3.9163,3.9686,4.0243,4.0746,4.1183,4.1523,4.1721,4.188,4.2006,4.2061,4.2109,10R
72,7.946,8.1037,8.2478,8.4048,8.5756,8.7639,8.9335,9.1132,9.3127,9.5121,9.7279,9.944,10.1597,10.3598,10.5671,10.743,10.933,11.0942,11.2711,11.4332,11.5656,11.679,11.7874,11.8764,11.9739,12.0688,15A
73,14.0208,14.3092,14.5511,14.8208,15.123,15.4326,15.7556,16.0784,16.4241,16.7932,17.1865,17.6051,17.9929,18.3956,18.7813,19.1199,19.4551,19.7539,20.0748,20.3465,20.5729,20.7435,20.8763,20.9833,21.0689,21.1576,11N
74,13.6861,14.0132,14.2861,14.5547,14.8588,15.1808,15.5102,15.8431,16.221,16.6014,16.9981,17.4098,17.8141,18.2059,18.5815,18.9285,19.2548,19.5537,19.851,20.113,20.3116,20.4647,20.5849,20.6686,20.734,20.8045,11X
75,19.5523,19.905,20.2148,20.5422,20.8799,21.275,21.6951,22.1096,22.5857,23.0771,23.5976,24.1529,24.7154,25.2379,25.7666,26.2539,26.7226,27.1278,27.5744,27.9708,28.3034,28.5965,28.8453,29.0603,29.2627,29.4873,70F
